day;time;thermal_zone2 (TSKN);thermal_zone0 (INT3400 Thermal);thermal_zone5 (iwlwifi_1);thermal_zone3 (NGFF);thermal_zone1 (TMEM);thermal_zone6 (x86_pkg_temp);thermal_zone4 (TCPU)
day;time;thermal_zone2 (TSKN);thermal_zone0 (INT3400 Thermal);thermal_zone5 (iwlwifi_1);thermal_zone3 (NGFF);thermal_zone1 (TMEM);thermal_zone6 (x86_pkg_temp);thermal_zone4 (TCPU)
2024-09-27;15:34:45;37.05;20.0;43.0;32.05;36.05;44.0;46.05
2024-09-27;15:35:45;36.05;20.0;42.0;32.05;36.05;42.0;43.05
2024-09-27;15:36:45;36.05;20.0;42.0;33.05;35.05;42.0;43.05
2024-09-27;15:37:45;35.05;20.0;41.0;32.05;35.05;43.0;42.05
2024-09-27;15:38:45;35.05;20.0;42.0;32.05;35.05;42.0;42.05
2024-10-21;20:51:04;32.05;20.0;34.0;27.05;30.05;38.0;38.05
2024-10-21;20:52:06;32.05;20.0;34.0;27.05;31.05;39.0;38.05
2024-10-21;20:53:06;32.05;20.0;34.0;27.05;31.05;39.0;38.05
2024-10-21;20:54:06;33.05;20.0;34.0;28.05;31.05;39.0;39.05
2024-10-21;20:55:07;33.05;20.0;34.0;28.05;31.05;39.0;39.05
2024-10-21;20:56:07;33.05;20.0;35.0;28.05;31.05;38.0;38.05
2024-10-21;21:02:34;34.05;20.0;36.0;29.05;33.05;39.0;40.05
2024-10-21;21:04:27;34.05;20.0;37.0;29.05;33.05;40.0;40.05
2024-10-21;21:05:27;35.05;20.0;37.0;29.05;33.05;41.0;40.05
2024-10-21;21:06:27;35.05;20.0;38.0;30.05;34.05;41.0;41.05
2024-10-21;21:07:27;35.05;20.0;38.0;30.05;34.05;41.0;41.05
2024-10-21;21:22:23;38.05;20.0;39.0;31.05;36.05;42.0;43.05
2024-10-21;21:25:02;39.05;20.0;40.0;32.05;37.05;46.0;45.05
2024-10-21;21:29:58;40.05;20.0;40.0;32.05;38.05;45.0;44.05
2024-10-21;21:30:34;40.05;20.0;41.0;33.05;37.05;44.0;45.05
2024-10-21;21:47:14;39.05;20.0;40.0;33.05;37.05;43.0;44.05
2024-10-21;21:48:14;39.05;20.0;40.0;33.05;37.05;44.0;45.05
2024-10-21;21:49:14;38.05;20.0;40.0;33.05;37.05;43.0;43.05
2024-10-21;21:50:14;38.05;20.0;40.0;33.05;37.05;42.0;43.05
2024-10-21;21:51:14;38.05;20.0;40.0;33.05;36.05;42.0;42.05
2024-10-22;07:16:16;27.05;20.0;30.0;24.05;26.05;32.0;33.05
2024-10-22;07:16:42;28.05;20.0;30.0;24.05;26.05;33.0;34.05
2024-10-22;07:36:04;31.05;20.0;34.0;26.05;29.05;36.0;40.05
2024-10-22;07:42:49;30.05;20.0;32.0;26.05;28.05;36.0;37.05
2024-10-22;07:43:49;29.05;20.0;32.0;25.05;28.05;34.0;35.05
2024-10-22;07:44:49;29.05;20.0;31.0;26.05;28.05;34.0;34.05
2024-10-22;07:45:49;29.05;20.0;32.0;25.05;28.05;35.0;35.05
2024-10-22;07:46:49;29.05;20.0;34.0;26.05;28.05;38.0;38.05
2024-10-22;07:47:49;30.05;20.0;33.0;26.05;29.05;36.0;36.05
2024-10-22;07:48:50;29.05;20.0;32.0;26.05;28.05;35.0;36.05
2024-10-22;07:49:50;30.05;20.0;32.0;26.05;28.05;38.0;35.05
2024-10-22;07:50:55;30.05;20.0;37.0;26.05;29.05;36.0;37.05
2024-10-22;07:52:11;30.05;20.0;37.0;26.05;29.05;38.0;35.05
2024-10-22;16:46:37;44.05;20.0;49.0;35.05;40.05;45.0;45.05
2024-10-22;16:47:38;43.05;20.0;50.0;35.05;40.05;46.0;45.05
2024-10-22;16:57:26;42.05;20.0;49.0;35.05;39.05;45.0;45.05
2024-10-22;16:58:26;42.05;20.0;49.0;34.05;39.05;48.0;44.05
2024-10-22;12:24:02;20.0;52.0;59.0;0.05;52.05;52.0;52.0;52.0;48.0
2024-10-22;12:27:28;20.0;47.0;57.0;0.05;47.05;47.0;49.0;48.0;46.0
day;time;thermal_zone2 (INT3400 Thermal);thermal_zone0 (acpitz);thermal_zone7 (iwlwifi_1);thermal_zone5 (SNS2);thermal_zone3 (SNS1);thermal_zone1 (acpitz);thermal_zone8 (x86_pkg_temp);thermal_zone6 (B0D4);thermal_zone4 (pch_cannonlake)
2024-10-22;12:40:44;20.0;46.0;56.0;0.05;46.05;46.0;47.0;47.0;45.0
2024-10-22;12:44:19;20.0;46.0;55.0;0.05;46.05;46.0;48.0;48.0;46.0
2024-10-22;12:45:19;20.0;44.0;55.0;0.05;44.05;44.0;46.0;46.0;43.0
2024-10-22;16:21:20;20.0;43.0;47.0;0.05;43.05;43.0;44.0;44.0;43.0
2024-10-22;16:22:20;20.0;42.0;44.0;0.05;42.05;42.0;52.0;52.0;41.0
2024-10-22;16:23:20;20.0;42.0;45.0;0.05;42.05;42.0;44.0;43.0;42.0
2024-10-22;16:24:20;20.0;42.0;44.0;0.05;42.05;42.0;44.0;44.0;41.0
2024-10-22;16:48:37;20.0;39.0;41.0;0.05;39.05;39.0;41.0;41.0;38.0
2024-10-22;16:49:37;20.0;39.0;41.0;0.05;39.05;39.0;40.0;40.0;39.0
2024-10-22;16:50:37;20.0;41.0;42.0;0.05;41.05;41.0;44.0;43.0;40.0
2024-10-22;16:51:37;20.0;44.0;49.0;0.05;44.05;44.0;52.0;52.0;44.0
2024-10-22;16:52:37;20.0;44.0;49.0;0.05;44.05;44.0;46.0;46.0;43.0
2024-10-22;16:53:37;20.0;44.0;47.0;0.05;44.05;44.0;54.0;54.0;43.0
2024-10-22;16:54:37;20.0;43.0;45.0;0.05;43.05;43.0;46.0;45.0;43.0
2024-10-22;16:55:37;20.0;43.0;46.0;0.05;43.05;43.0;44.0;44.0;42.0
2024-10-22;16:56:37;20.0;43.0;46.0;0.05;43.05;43.0;45.0;45.0;43.0
2024-10-22;16:57:37;20.0;43.0;49.0;0.05;43.05;43.0;45.0;45.0;42.0
2024-10-22;17:10:05;20.0;42.0;43.0;0.05;42.05;42.0;44.0;44.0;42.0
2024-10-22;17:11:05;20.0;41.0;47.0;0.05;41.05;41.0;44.0;43.0;42.0
2024-10-22;17:12:05;20.0;43.0;49.0;0.05;43.05;43.0;47.0;47.0;44.0
2024-10-22;17:13:05;20.0;42.0;49.0;0.05;42.05;42.0;46.0;46.0;42.0
2024-10-22;17:19:42;20.0;42.0;44.0;0.05;42.05;42.0;46.0;45.0;41.0
2024-10-22;17:22:59;20.0;43.0;48.0;0.05;43.05;43.0;45.0;45.0;42.0
2024-10-22;17:23:59;20.0;42.0;44.0;0.05;42.05;42.0;46.0;46.0;42.0
2024-10-22;17:24:59;20.0;43.0;48.0;0.05;43.05;43.0;45.0;44.0;42.0
2024-10-22;17:27:14;20.0;42.0;44.0;0.05;42.05;42.0;44.0;44.0;42.0
2024-10-22;17:28:14;20.0;41.0;43.0;0.05;41.05;41.0;42.0;42.0;40.0
2024-10-22;17:29:14;20.0;40.0;44.0;0.05;40.05;40.0;42.0;42.0;41.0
2024-10-22;19:26:45;20.0;41.0;43.0;0.05;41.05;41.0;43.0;43.0;40.0
2024-10-22;19:27:45;20.0;40.0;43.0;0.05;40.05;40.0;42.0;42.0;40.0
2024-10-22;19:28:46;20.0;40.0;46.0;0.05;40.05;40.0;42.0;42.0;40.0
2024-10-23;08:23:07;20.0;41.0;43.0;0.05;41.05;41.0;42.0;42.0;41.0
2024-10-23;08:24:07;20.0;39.0;41.0;0.05;39.05;39.0;42.0;41.0;39.0
2024-10-23;08:25:07;20.0;40.0;41.0;0.05;40.05;40.0;42.0;41.0;40.0
